sentense,lable
시간가는줄 알고 봤습니다 ,0
이 영화를 본 제가 별 10개를 받아야겠습니다 ,0
나만 당할수는 없다 ,0
저희 할머니가 이걸보고 류마티스 관절염을 극복하셨습니다 감사합니다 ,1
영화 아저씨 따라하기 정신병걸린 여자연예인 벗겨먹기 삼류감독 리얼 평점 0점주고싶은데 1점이 최하라 1점준다 고마워해라 ,0
저는 10년째 불면증을 겪고있습니다 수면제없인 잠을못잡니다 처음으로 수면제없이 상쾌한잠을잤습니다 값비싼 프로포폴대신 싸고저렴한 리얼 을 강력추전합니다 ,1
클레멘타인을 이을 영화 ,1
씨리얼 보는게 더 재미있어요 ,1
꼭 그렇게 찍었어야만 속이 후련했냐 ,0
한국영화 4대천황 클레맨타인 성냥팔이 소녀의 재림 7광구 리얼 이 영화는 마스터 피스다 ,1
한숨 5분마다 한번씩 하게된다 ,1
관람객살다살다 이런 전위적인 괴작은 처음 봤습니다 똘추 김수현 약쟁이 설리의 로망 영화 같았음 한국영화를 100년 후퇴시키고자 하는 중국자본의 동북아공정일수도 ,0
시험공부에 흥미가 생겼습니다 ,1
저희집 금붕어에게 이 영화를 보여줬더니 2주뒤에 상어가 되었습니다 감사합니다 ,1
무도에 배우가 홍보하러 나오는 영화는 믿고 거른다 아수라 리얼 ,0
관람객옆에서 폰을 해도 화나지 않는 영화 ,0
관람객진짜 2017년 최악의 영화 멀 보여주려는지 ,0
박평식입니다 직업상 수많은 영화를 보고 평가해야 하지만 이런 영화까지 평가해줘야된다고 생각하니 평론가로서의 내 삶에 갑자기 크나큰 비애를 느낍니다 1점이 아니라 마이너스 100점을 주고 싶네요 썅 ,0
부디 설리 몸 5초 볼려고 영화 보러가려는 한심한 인간이 없기를 ,0
티비로 무료상영해도 안볼듯 ㅋ ,0
관람객이것을 보느니 집에서 천장만 보는게 더 재밌겠어요 ,0
클레멘타인 다세포소녀 7광구 긴급조치 19호 맨데이트 예스터데이 성냥팔이 소녀의 재림 아 유 레디 천사몽 영웅 샐러멘더의 비밀 디워의 뒤를 잇는 또 하나의 감동 실화 ,1
클레멘타인을 이을 영화 ,1
관람객저혈압과 기면증의 콜라보 ,0
이곳이 바로 알바천국이네 ,0
만약 노아가 살아있었다면 이 영화를 방주에 실었을 것이다 ,1
김수현이 말없이 쇼파에 상의탈의 하고 누워서 좀 자다가 밥먹고 트름하는거만 찍어도 이거보다 재밌고 돈 안 아까울듯 ,1
내가 아이폰으로 찍어도 이것보단 잘찍을듯 리얼 짜증 ,0
감독얼굴보고 한번 김수현 얼굴보고 한번 영화보면서 한번 총 3번 속았다 ,1
관람객나만 당할순 없다 ,1
5년동안 끊었던 담배를 다시 피게 되었습니다 ,1
관람객아 그냥 아 ,0
관람객제가시끄럽게 팝콘먹으면서봐도 사람들은이해해주었어요 ,1
청소년 관람불가가 아니라 전체 관람불가 ,0
온갖 질타를 받으며 이땅의 모든 한국 영화들을 명작으로 돋보이게 해줬다는 점에서 이 영화는 죄인들을 향한 예수의 눈물겨운 십자가 희생정신과 닮아있다 리얼의 희생은 후대에 널리 알려져 재평가 받을 것이다 ,1
관람객김수현 성동일 연기는 진짜 볼만하다 근데 스토리가 좀 난해하고 마지막이 좀 그렇다 ,0
클레멘타인은 이영화에 발끝에도 못미친다 ,0
관람객에휴 감독이 이 배우들 데리고 뭐한건지 ,0
관람객내용도없고 팩트도없고 지루하고그러네요 ,0
저의 암세포가 이걸보고 암에 걸려 다죽었습니다 감사합니다 ,1
영화보다 평점이 더 재밌긴 처음이네 ㅋㅋㅋㅋ ,0
간만에 나온 희대의 괴작 아빠 일어나 ,0
알바들 진짜 많네 같은 평으로 여러개 복붙 진짜 영화는 보고 평가하냐 난진짜 언론시사회 갔다와서 화가나서 그러는데 니들이 과연 이영화보고 그런 평 내릴수있는지 보자 ,0
관람객제발 보지마세요 ,0
제목에 두글자가 빠졋네요 리얼 노잼 ,0
저 배우들이 완성작을 보면서 무슨 생각을 했을까 이제 배우믿고 보는 시대는 지났음 진짜 너무 실망스러워서 평가를 할 수가없다 ,0
설리가 문제가 아님 설리는 의외로 맞는 옷을 찾은듯 잘어울린다 김수현이 망함 중국놈들이 그깟 돈으로 김수현 영혼까지 벗겨 먹었더라 마지막에 빨간옷 입고 춤는건 정말 이래서 중국 투자가 위험한거다 ,0
아니 영화 보지도 않고 평점 테러하고 까시는 분들 뭡니까 ㅡㅡ 보고 나면 더 구체적으로 깔 수 있습니다 ,0
클레멘타인의 재림 더 이상의 설명은 필요없다 ,1
영화시작하자마자 설사하러 화장실가있느라고 초반부놓쳐서 개짜증났었는데 아 그냥 계속 화장실에서 설사나하고있을껄 ,0
김수현 사촌형 영화한편 찍게 해주려다가 쫄딱 망했네 ,0
여자친구의 잠든모습을 영화관에서 처음 보았습니다 ,1
